tag,genre,n_in_tsv,mapped,evidence_sample,note
_RIHLAT,history,83,true,al-tabṣiraŧ bi-l-tiǧāraŧ :: al-tabaṣṣur bi-al-tiǧāraŧ | Kitāb al-Buldān :: Kitāb Asmāʾ al-buldān | Diyarat | Kitāb al-Masālik wa-al-Mamālik :: al-Kitāb al-ʿAzīzī | Tahqiq Ma Lil Hind,
_BULDAN,,257,false,Faḍāʾil Makkaŧ | ḥaḏf min nasab qurayš :: nasab qurayš | Jamharat Ansab | Nasab Macad | Futuh Sham,"geografia z nazwy, ale 5 unikalnych tytulow to fada'il/ansab/futuh — nie mapowane"
_TABAQAT,biography,642,true,Faḍāʾil Makkaŧ | Sīraŧ ʿUmar b. ʿAbd al-ʿAzīz ʿalá mā rawāhu al-imām Mālik b. Anas wa-aṣḥābuhu :: Sīraŧ ʿUmar b. ʿAbd al-ʿAzīz | Akhbar Wafidat | Akhbar Wafidin | ṭabaqāt fuḥūl al-šuʿarāʾ,
_WAFAYAT,biography,74,true,Ṭabaqāt al-ṣūfiyyaŧ | Ṣifaŧ al-ṣafwaŧ | Cuyun Anba | Wafayāt al-aʿyān wa anbāʾ abnāʾ al-zamān | al-Sulūk fī ṭabaqāt al-ʿulamāʾ wa-l-mulūk,
_SIRA,biography,226,true,Rawda | Sīraŧ  åbn Isḥāq | Maqtal Husayn | Siyar | Waqcat Siffin,
_SHAMAIL,biography,123,true,Sīraŧ  åbn Isḥāq | Siyar | Shamail Muhammadiyya | Sira | Akhlaq Nabi,
_MUFASSIRUN,,4,false,Tabaqat Mufassirin | Ṭabaqāt al-mufassirīn,za malo unikalnych tytulow (2) — nie mapowane
_FIQH,fiqh,1257,true,Jamic | Jihad | Kitāb al-āṯār | Iḫtilāf Abī Ḥanīfaŧ wa ibn Abī laylá | al-Radd ʿalá siyar al-Awzāʿī,
_FATAWA,fiqh,72,true,Futya | Sarair | Masail Manthura | Masala Mardiniyya | Fatawa,
_QADA,fiqh,76,true,Siyasa | Rusum Dar Khilafa | al-Aḥkām al-sulṭāniyyaŧ | Durar Suluk | Tashil Nazar,
_MASAIL,fiqh,334,true,Manasik | Jihad | al-Radd ʿalá siyar al-Awzāʿī | Kharaj | Ikhtilaf Hadith,
_CAQAID,theology,643,true,al-Fiqh al-Absaṭ | al-Fiqh al-Akbar | Qadar | Asnam | Iman,
_MILAL,theology,425,true,al-Fiqh al-Absaṭ | Qadar | Asnam | Fitan | Hida,
_FIRAQ,theology,32,true,Firaq Shica | Maqalat Islamiyyin | Tacarruf Li Madhhab Ahl Tasawwuf | Farq Bayna Firaq | Tahqiq Ma Lil Hind,
_AMALI,adab_prose,26,true,Amali Fi Athar | Amali Wa Qiraa | Majlisān min imlā' al-Nasā'ī :: Juz' fīhi majlisān min imlā' al-Nasā'ī | Amali | Majalis,
_AKHLAQ,adab_prose,426,true,Kitāb al-Adab al-kabīr | Zuhd [0181IbnMubarak.Zuhd] | Duca | Zuhd [0197WakicIbnJarrah.Zuhd] | Cilm,etyka / adab; nie poezja
_ADAB,,780,false,Diwan [0001TarafaIbnCabd.Diwan] | Diwan [0041LabidIbnRabica.Diwan] | Amthal Carab | Mufaddaliyyat | Jamharat Ashcar Carab,tytuly w TSV to glownie Diwan — koliduje z poetry_diwan; fallback tytulowy
_BALAGHA,,502,false,Diwan [0001TarafaIbnCabd.Diwan] | Diwan [0041LabidIbnRabica.Diwan] | Amthal Carab | Mufaddaliyyat | Jamharat Ashcar Carab,retoryka + diwany; nie jednoznaczny gatunek z listy §4
_ADHKAR,,230,false,Zuhd [0185IbnCimranMawsili.Zuhd] | Zuhd [0197WakicIbnJarrah.Zuhd] | Zuhd [0212IbnMusaQurashi.Zuhd] | Zuhd [0243HannadIbnSari.Zuhd] | Adab Nufus,"empirycznie zuhd/adab, nie du'a/khutab; fallback tytulowy na prayer_sermon"
_TARAJIM,,1448,false,Faḍāʾil Makkaŧ | Juz | Jamic | Manasik | Mashyakha,"probka mieszana (juz/jami/manasik/mashyakha), nie czysta biografistyka"
_QURAN,,381,false,al-Qurān :: al-Muṣḥaf | Gharib Quran | Tafsir [0104MujahidIbnJabr.Tafsir] | Nasikh Wa Mansukh | Tafsir [0148AbuHamzaThumali.Tafsir],"mushaf / tekst Koranu, nie tafsir"
_AHKAM,,74,false,Ahkam Quran | Ikhtilaf Hadith | Cilal | al-ʿIlal wa maʿrifaŧ al-riǧāl | Min kalām al-imām ʿAbd Allāh Aḥmad b. Ḥanbal fī ʿilal al-ḥadīṯ wa-maʿrifaŧ al-riǧāl,mieszane Ahkam Quran (tafsir) i ahkam fiqh
_USUL,,364,false,Jihad | al-Radd ʿalá siyar al-Awzāʿī | Kharaj | Ikhtilaf Hadith | Jimac Cilm,usul fiqh / usul din — nie rozroznione
_CILAL,,128,false,Ikhtilaf Hadith | Min Kalam Fi Rijal | Sualat Ibn Junayd | Cilal | Sualat Ibn Abi Shayba,"critica hadith, nie zbior kanoniczny"
_TAKHRIJ,,123,false,Nawadir Usul | Ahadith Muwatta | Jamc Bayna Sahihayn | Targhib Wa Tarhib | Cilal Mutanahiyya,"takhrij, nie zbior kanoniczny"
_FAWAID,,31,false,Majlis Min Fawaid | Hadith Yahya | Fawaid Hadith Abi Cumayr | Fawaid | Fawaid Ciraqiyyin,"fawa'id / majalis, nie zbior kanoniczny"
_ANSAB,,70,false,ḥaḏf min nasab qurayš :: nasab qurayš | Jamharat Ansab | Nasab Macad | Nasab Quraysh | Mukhtalaf Qabail,"tablice genealogiczne — EXCLUDE_TITLE_PATTERNS, nie gatunek"
